"Sample","Singlets","Doublets","Total","Doublet_Percent"
"malec1",6496,535,7031,7.60915943677997
"malec2",11834,1924,13758,13.9845907835441
"malec3",30862,15539,46401,33.4885024029655
"femc1",6459,200,6659,3.00345397206788
"femc2",9013,1176,10189,11.541858867406
"femc3",20495,5601,26096,21.4630594727161
"males1",10431,1355,11786,11.4966909893094
"males2",6083,505,6588,7.66545233758348
"males3",38449,13247,51696,25.6248065614361
"fems1",12440,2259,14699,15.3683924076468
"fems2",5332,336,5668,5.92801693719125
"fems3",42735,16206,58941,27.4952919020716
