"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","Prkch",0,3.2157292342454,0.592,0.108,0
"0","Ankrd33b",0,3.03746987598093,0.272,0.041,0
"0","Gng7",0,3.01887510393659,0.708,0.151,0
"0","Ppp1r1b",0,3.01720628165888,0.503,0.083,0
"0","Lpl",0,2.99752490453445,0.113,0.017,0
"0","Clcf1",0,2.98099848481291,0.118,0.019,0
"0","Sh3rf2",0,2.98025521736749,0.277,0.057,0
"0","CUNH6orf118",0,2.95076257093512,0.171,0.031,0
"0","Rarb",0,2.91654244893045,0.991,0.486,0
"0","Nexn",0,2.90663943788906,0.329,0.065,0
"0","Smad3",0,2.88688130097525,0.629,0.132,0
"0","Scn4b",0,2.84997405142352,0.235,0.042,0
"0","Atp6v1c2",0,2.84225226952725,0.145,0.022,0
"0","Gabrd",0,2.75002440529898,0.109,0.018,0
"0","Ca12",0,2.73592767140516,0.381,0.08,0
"0","Adora2a",0,2.73299981902615,0.141,0.026,0
"0","Drd2",0,2.65768461583208,0.339,0.116,0
"0","Kcnj4",0,2.65266289818142,0.11,0.019,0
"0","Spata13",0,2.635739648998,0.515,0.118,0
"0","Crym",0,2.5973870420163,0.181,0.035,0
"1","Ano1",1.55937130940125e-294,2.34559600162282,0.135,0.041,3.86381023043441e-290
"1","Esr2",7.8304169818244e-206,2.13468429712316,0.107,0.035,1.94022071975645e-201
"1","Kcng2",0,2.0389192481071,0.194,0.06,0
"1","Prdm16",2.41739475348428e-91,2.02602220124737,0.137,0.076,5.98982072018334e-87
"1","Satb2",2.87969598759063e-275,1.98635572657039,0.139,0.045,7.13531071805208e-271
"1","Adamts16",0,1.88191515373335,0.238,0.086,0
"1","Crocc2",0,1.85527023726694,0.153,0.046,0
"1","Prox1",3.44036361001112e-220,1.78317644957519,0.151,0.059,8.52453295288555e-216
"1","Dlx1",6.37114632673596e-281,1.76799099581099,0.123,0.036,1.57864263683864e-276
"1","Adamts14",3.88885496348216e-279,1.6666125807435,0.152,0.051,9.63580482851608e-275
"1","Trpc4",0,1.54086272625003,0.48,0.254,0
"1","Nr2f2",0,1.42342448243359,0.261,0.1,0
"1","Khdc3l",5.07715868816973e-148,1.42186505120272,0.106,0.041,1.2580183797547e-143
"1","Gck",5.9627180944681e-201,1.41184145202611,0.146,0.058,1.47744228944731e-196
"1","Ecel1",4.3849944727907e-181,1.40574792039899,0.133,0.053,1.08651393046808e-176
"1","Megf11",1.3118942113801e-183,1.32986272489859,0.277,0.157,3.25061147695761e-179
"1","Trpc6",7.55115248276568e-142,1.3040416310656,0.148,0.069,1.87102456217968e-137
"1","Dlx2",9.96383879174401e-138,1.28986071574711,0.105,0.042,2.46883997581833e-133
"1","Zbtb7c",0,1.2364808188219,0.451,0.27,0
"1","Scn5a",0,1.21550310044585,0.332,0.16,0
"10","Chst9",0,4.87423990550501,0.631,0.084,0
"10","Mdfic",0,4.72190174963242,0.334,0.018,0
"10","Col1a1",0,4.66989554406861,0.294,0.017,0
"10","Eya2",0,4.39266659646858,0.475,0.039,0
"10","Otof",0,3.65315976848428,0.574,0.074,0
"10","Tshz1",0,3.60436853049452,0.802,0.178,0
"10","Adgrv1",0,3.31876430709089,0.57,0.139,0
"10","Casz1",0,3.26377496876853,0.326,0.041,0
"10","Arhgap28",0,3.09165563130838,0.232,0.042,0
"10","Foxp2",0,3.05486257257789,0.98,0.421,0
"10","Crhr2",0,2.96122446231494,0.269,0.039,0
"10","Ipcef1",0,2.51589163590212,0.323,0.076,0
"10","Sox2",0,2.48259722166924,0.997,0.714,0
"10","Slc22a3",0,2.44747425502043,0.178,0.036,0
"10","Jcad",0,2.30857238298642,0.271,0.066,0
"10","Kcnk12",0,2.26168555837338,0.308,0.085,0
"10","Slc35f2",4.16663442253314e-205,2.19563394138165,0.123,0.027,1.03240867721526e-200
"10","Igfbp5",0,2.18404369873651,0.249,0.069,0
"10","Sema5b",0,2.11373917126245,0.387,0.113,0
"10","Sp9",7.88404447346517e-151,2.02842369323496,0.11,0.028,1.9535085396352e-146
"11","Nts",0,3.63848969102951,0.303,0.032,0
"11","Nr2e1",0,3.00421999923618,0.158,0.019,0
"11","Rxfp1",2.0569588252006e-274,2.89248617139003,0.129,0.022,5.09673257708205e-270
"11","Asb18",5.52467725535237e-303,2.62004069609721,0.142,0.024,1.36890453033121e-298
"11","Ret",0,2.57005618741102,0.163,0.03,0
"11","Nkx2-1",0,2.56913878243929,0.21,0.035,0
"11","Phactr2",0,2.52561598633679,0.561,0.152,0
"11","Nup62cl",5.18434011795528e-267,2.51575939166032,0.134,0.024,1.28457579442696e-262
"11","Slc22a3",1.8957271371897e-237,2.50539796161371,0.162,0.037,4.69723270052863e-233
"11","Aebp1",2.52209427106137e-180,2.41395621434704,0.104,0.021,6.24924518483585e-176
"11","Lrrc9",0,2.15774763021502,0.292,0.076,0
"11","Asic4",4.56309345807364e-204,2.15289985386887,0.136,0.03,1.13064329704149e-199
"11","Meis1",1.0522059319804e-193,2.14613477348369,0.349,0.162,2.60715585826103e-189
"11","Zeb2",0,2.08631604770095,0.583,0.189,0
"11","Plpp4",0,2.06217212644861,0.451,0.148,0
"11","Foxp2",0,1.97202005190714,0.85,0.429,0
"11","Prelid2",1.94369181934074e-264,1.9165211314524,0.239,0.067,4.81607958996249e-260
"11","Dysf",1.9666510673487e-249,1.90645462187681,0.236,0.068,4.8729680146766e-245
"11","Plagl1",0,1.89232724028882,0.551,0.214,0
"11","Fignl2",8.30614049289365e-125,1.85854254404055,0.113,0.031,2.05809549132919e-120
"12","Tafa4",0,5.58369261173603,0.506,0.019,0
"12","Hmga2",0,5.4753677615916,0.208,0.016,0
"12","Col23a1",0,4.77418455768073,0.497,0.068,0
"12","Ngf",0,4.59543197050052,0.146,0.008,0
"12","Trdn",0,4.40561158479256,0.247,0.024,0
"12","Arsj",0,3.90759301026406,0.104,0.011,0
"12","Hpgd",0,3.8465595501471,0.143,0.015,0
"12","Gbx1",0,3.83062810927062,0.344,0.031,0
"12","Ca1",0,3.81972240037796,0.126,0.013,0
"12","Ccdc141",0,3.71898940911967,0.304,0.036,0
"12","Itga8",0,3.7094887731357,0.451,0.104,0
"12","Stac",0,3.61923887705747,0.788,0.182,0
"12","Tacr3",0,3.52153989295719,0.353,0.05,0
"12","Itga1",0,3.40380416559365,0.231,0.04,0
"12","Ror2",0,3.27710678179151,0.154,0.022,0
"12","Kcns3",0,3.24242193415178,0.128,0.017,0
"12","Ndst4",0,2.9990192615578,0.876,0.393,0
"12","Smoc2",1.36599171462525e-301,2.95549392170026,0.135,0.02,3.38465427049844e-297
"12","Traf3ip2",0,2.90598538737382,0.205,0.029,0
"12","Alk",0,2.79400348771737,0.919,0.643,0
"13","Ano1",1.87805045286379e-291,2.34849098304359,0.211,0.046,4.65343341210589e-287
"13","Lhx8",0,2.32677097985302,0.632,0.146,0
"13","Lypd6b",0,2.31518431599168,0.618,0.174,0
"13","Mctp2",0,2.2665793563901,0.569,0.204,0
"13","Lypd6",0,2.25274365145979,0.745,0.23,0
"13","Adarb2",0,2.2359815020093,0.999,0.829,0
"13","Lhfpl6",0,2.14716866607209,0.55,0.203,0
"13","Kank4",1.72241802416051e-264,2.10225945573168,0.23,0.058,4.26780738026491e-260
"13","Adamts9",4.62225853656637e-194,2.05759222661174,0.267,0.093,1.14530322019042e-189
"13","Stk32b",0,1.99528676633728,0.365,0.102,0
"13","Gfra1",0,1.99295996812648,0.57,0.259,0
"13","Adra1b",1.3110017497299e-225,1.9190229686127,0.241,0.07,3.24840013548073e-221
