"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","Chst9",1.02406590821895e-45,2.44621864729434,0.262,0.078,2.08581744186035e-41
"0","Pde3a",8.29162309322941e-43,2.15270080582011,0.378,0.168,1.68883779162897e-38
"0","Synpo2",9.37042942253534e-28,2.11094464805093,0.159,0.045,1.908569064782e-23
"0","Kcng2",1.83929639946621e-29,1.91454271833031,0.215,0.074,3.74627890643277e-25
"0","Dab2",3.92739524992003e-23,1.90290131189492,0.138,0.04,7.99931864503711e-19
"0","Col15a1",2.88162331814844e-22,1.89447597137777,0.151,0.049,5.86929037440474e-18
"0","Prkch",5.81869108619455e-19,1.62482075744646,0.161,0.061,1.18515100043611e-14
"0","Zmat4",1.93862554296412e-99,1.54712502046946,0.803,0.463,3.94859250590932e-95
"0","Slit3",1.62163304711602e-85,1.54698716618096,0.806,0.504,3.30294219036591e-81
"0","Erbb4",9.1759308355622e-133,1.53705612092723,0.984,0.899,1.86895359258731e-128
"0","St6gal2",1.6711188872013e-52,1.49315811228559,0.494,0.234,3.40373494945161e-48
"0","Tmem26",2.22598357004779e-15,1.40465703561227,0.133,0.05,4.53388333547333e-11
"0","Map3k15",2.11347940926684e-15,1.39312332264567,0.187,0.088,4.3047348607947e-11
"0","Cntnap4",6.98990586365179e-80,1.34812612866152,0.882,0.684,1.4237040263086e-75
"0","Fam163b",2.11925980004469e-12,1.3037807481771,0.134,0.058,4.31650836073102e-08
"0","Pcdh19",5.51700587287022e-56,1.29698484971094,0.623,0.345,1.12370375618621e-51
"0","Gpc5",1.41295252281976e-63,1.23048567407506,0.974,0.899,2.8779016984793e-59
"0","Minar1",1.73635295349211e-15,1.21215027271153,0.221,0.112,3.53660369567273e-11
"0","Htr1f",4.90119098217783e-12,1.19901401083917,0.233,0.136,9.9827457924998e-08
"0","Calcr",1.93171639512819e-43,1.15190220215224,0.654,0.418,3.9345199535971e-39
"1","Bnc2",5.37423630280126e-254,6.82167025980525,0.539,0.039,1.09462445015456e-249
"1","Ebf2",0,5.06084863542727,0.765,0.048,0
"1","Myzap",3.8009428865085e-134,4.98546494445325,0.28,0.013,7.7417604712405e-130
"1","Col5a2",1.16492609204487e-62,4.20839578529246,0.167,0.015,2.37272146427699e-58
"1","Npnt",5.82963813430631e-290,4.14300155856737,0.653,0.057,1.18738069519551e-285
"1","Col4a6",7.69836601478203e-89,3.90466961279924,0.282,0.039,1.5680031898908e-84
"1","Tll1",4.00302116697593e-91,3.76445671060785,0.335,0.061,8.15335351289657e-87
"1","Igf1",6.81787827019676e-97,3.71107706205326,0.283,0.033,1.38866544607368e-92
"1","Htr1d",6.31842529351559e-89,3.69604253780236,0.229,0.019,1.28693686378326e-84
"1","Anxa3",2.03473164090666e-57,3.39788768082171,0.164,0.017,4.14434140619869e-53
"1","Sntb1",1.30438868577337e-255,3.22813715528065,0.795,0.166,2.6567788751832e-251
"1","Igfbp7",4.83261252295771e-49,3.20597681582859,0.145,0.016,9.84306518676026e-45
"1","Tmem51",1.20899292045273e-32,3.12719970244448,0.105,0.013,2.46247678037813e-28
"1","Tc2n",8.82031310798178e-43,3.12575628557481,0.139,0.018,1.79652137383373e-38
"1","Nptx2",3.67282579692558e-33,2.7576051739268,0.12,0.018,7.48081158317803e-29
"1","Cgnl1",2.67579476220958e-38,2.70880319107572,0.161,0.03,5.45005877166847e-34
"1","Il1rl2",1.28238523029735e-35,2.68441721268273,0.138,0.024,2.61196223706963e-31
"1","Frmpd1",4.99798789062583e-47,2.6574563110755,0.206,0.042,1.01799017356267e-42
"1","Adamts9",1.01931414528609e-78,2.59247682999331,0.333,0.069,2.07613905111871e-74
"1","Ebf1",9.7531885232235e-251,2.47522989987742,0.995,0.57,1.98652943841016e-246
"2","Sall3",4.19085271892182e-187,4.69662213382976,0.421,0.023,8.53592881789997e-183
"2","Atp10a",1.16218678840148e-103,3.7789659384664,0.308,0.03,2.36714205061613e-99
"2","Trh",2.09563279149605e-141,3.60013860978722,0.435,0.047,4.26838486971916e-137
"2","Crhr2",1.15966517207748e-97,3.5391646102926,0.29,0.028,2.36200602248741e-93
"2","Prdm8",6.83990886298668e-79,3.53094410348763,0.231,0.021,1.39315263721313e-74
"2","Sim2",1.30829586254056e-178,3.37055202520292,0.593,0.08,2.66473701282262e-174
"2","Ddc",1.96277752749402e-138,3.21549276489172,0.61,0.133,3.99778526799983e-134
"2","Asic4",9.42559675990669e-119,3.14064021214652,0.418,0.056,1.91980554805779e-114
"2","Pappa2",1.44478863238963e-26,3.04132947935396,0.11,0.017,2.94274548645119e-22
"2","Col4a4",1.01141782257705e-33,2.75199759661578,0.28,0.091,2.06005582102494e-29
"2","Antxr2",7.81198601755206e-100,2.69903207718605,0.502,0.111,1.591145312055e-95
"2","Pi16",1.20905552558385e-32,2.63743253768031,0.145,0.024,2.46260429450919e-28
"2","Kcng3",4.27724643676122e-36,2.51979397897091,0.203,0.044,8.71189554239525e-32
"2","Anxa2",4.91314357189818e-26,2.37845369538134,0.147,0.032,1.00070908272422e-21
"2","Bmp6",1.06022178570358e-51,2.32083001192962,0.325,0.08,2.15945973312105e-47
"2","Col4a3",1.97721175832912e-23,2.31550444279295,0.159,0.041,4.02718490936475e-19
"2","Cbln1",5.28001710383365e-82,2.28749006662335,0.465,0.109,1.07543388370884e-77
"2","Gna14",7.99768608206288e-34,2.24816952761517,0.262,0.077,1.62896870119457e-29
"2","Meox2",7.08814849945651e-39,2.22360180973146,0.245,0.059,1.4437140863693e-34
"2","Tacr1",2.02179761383054e-45,2.21742056113572,0.465,0.19,4.11799737985004e-41
"3","Th",2.50759113584354e-90,4.08185549420002,0.229,0.015,5.10746162548613e-86
"3","Kl",1.45748712018556e-74,3.26252793047634,0.253,0.029,2.96860976639396e-70
"3","Pth2r",1.8426254403293e-35,3.10771492605968,0.145,0.021,3.75305949686272e-31
"3","Itga9",3.74302318318446e-80,2.95674387718321,0.373,0.07,7.6237896195101e-76
