"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","Nrp2",1.81607471621451e-12,4.64865717603855,0.648,0.023,2.97073502078369e-08
"0","Bcl11a",5.02627356747402e-11,4.38562277020475,0.64,0.093,8.22197830167401e-07
"0","Adarb2",6.11870282998882e-15,4.09529152021173,0.914,0.512,1.00089740892957e-10
"0","Gad1",4.91580194970451e-08,3.69786117403932,0.5,0.047,0.000804126882932664
"0","Spon1",4.01971418506127e-07,3.67395119620246,0.467,0.047,0.00657544846392323
"0","Zmat4",6.7761986916305e-09,3.63831523181709,0.581,0.093,0.000110845058197692
"0","Htr4",7.2253190363225e-10,3.58443761538735,0.612,0.116,1.18191768796163e-05
"0","Znf385d",1.83321632251385e-18,3.57475550303826,0.95,0.581,2.99877526036816e-14
"0","Rasgrf1",1.17887732495326e-07,3.49337895056063,0.495,0.07,0.00192840752815854
"0","Tmem132d",7.37764975607817e-12,3.47135264423064,0.752,0.256,1.20683594709927e-07
"0","Hs6st2",1.57667435727725e-08,3.43311842574316,0.56,0.093,0.000257912391363412
"0","Cdh20",2.72514654643433e-10,3.35324995740388,0.674,0.163,4.45779472065728e-06
"0","Epha6",1.60411474038658e-18,3.32491608054703,0.95,0.512,2.62401089232437e-14
"0","Robo1",4.10058879499683e-23,3.32294693220357,0.995,0.837,6.70774315085581e-19
"0","Cacna2d3",1.09014861563864e-13,3.25333100338745,0.836,0.326,1.78326510546169e-09
"0","Trhde",4.38272440820354e-09,3.23819240654953,0.629,0.14,7.16926058693935e-05
"0","Col4a2",1.68126312257974e-10,3.21451957756516,0.638,0.116,2.75021021591595e-06
"0","Ptprk",9.55005490094333e-10,3.1670724151627,0.681,0.186,1.56219798069631e-05
"0","Chrm2",1.52305793587917e-06,3.15127297373564,0.5,0.116,0.0249141817151115
"0","Eda",2.21731586692737e-06,3.1354853583854,0.45,0.07,0.0362708529511979
"1","Rufy4",8.56480494444563e-50,5.87294326368518,0.605,0.012,1.40103079281242e-45
"1","Gem",6.24810773622959e-19,5.02494635713023,0.279,0.012,1.02206546349244e-14
"1","Ly75",4.49093554101806e-43,4.88554330046481,0.837,0.081,7.34627235799734e-39
"1","Sim1",6.18164347980704e-51,4.70760553173852,1,0.121,1.01119324042684e-46
"1","Smoc2",2.88318571491409e-20,4.66649238621775,0.395,0.033,4.71631519245647e-16
"1","Col22a1",6.94143800005838e-27,4.4157363101624,0.558,0.055,1.13548042804955e-22
"1","Caprin2",2.35367455093637e-31,4.40640870903457,1,0.405,3.85014083042172e-27
"1","Uncx",9.59367078951582e-17,4.39489596688054,0.326,0.026,1.569332667749e-12
"1","Pcsk1",1.19724145923841e-22,4.38080479596878,0.814,0.207,1.95844757902219e-18
"1","Lgr6",2.3191241003191e-11,4.13597766951897,0.233,0.021,3.79362320330199e-07
"1","Susd1",3.55047752540666e-30,4.03521469258406,0.581,0.048,5.80787113606021e-26
"1","Ror2",3.75379782594182e-22,3.93434380834932,0.465,0.043,6.14046248367562e-18
"1","Otp",1.84070871606032e-16,3.87294326368518,0.279,0.017,3.01103131773148e-12
"1","Creb3l1",6.4855681491718e-12,3.80255393579378,0.209,0.014,1.06090923784152e-07
"1","Hmcn1",3.89293058446808e-23,3.77340759013427,0.581,0.076,6.36805585007288e-19
"1","Fosl2",1.28267086795925e-12,3.72538607527132,0.395,0.067,2.09819300580774e-08
"1","Tent5a",2.21321036605047e-17,3.60990885785139,0.395,0.04,3.62036951678536e-13
"1","Ell2",2.32586625385456e-28,3.51037318430047,0.814,0.148,3.80465201805529e-24
"1","Rfx2",4.01528253287244e-17,3.44844543515727,0.372,0.036,6.56819916727274e-13
"1","Angpt1",3.09653641328095e-25,3.39181657394856,0.791,0.162,5.06531426484498e-21
