"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","Ptgds",2.12928793938674e-15,5.7472409058848,0.303,0.102,3.79971432783563e-11
"0","Tmem132c",3.3572918820553e-09,3.26029943811255,0.134,0.024,5.99108736352768e-05
"0","Kirrel1",1.52876506804187e-08,3.18282068543484,0.109,0.013,0.000272808126392071
"0","Grik3",4.1194299564345e-24,3.09883601541844,0.318,0.051,7.35112275725736e-20
"0","Htr4",2.7681420828454e-23,3.01134021749048,0.318,0.056,4.93974954683761e-19
"0","Ror1",2.69471975977093e-06,2.89469529863821,0.102,0.024,0.0480872741131123
"0","Cacna2d3",4.47069343873441e-27,2.88949062099906,0.453,0.159,7.97795244142155e-23
"0","Hs6st2",4.61053548170915e-14,2.86822308727702,0.23,0.054,8.22750056710998e-10
"0","Ogn",9.14216431225593e-08,2.83941286313702,0.152,0.046,0.00163141922152207
"0","Mpped2",2.38806668212124e-13,2.82269152725838,0.192,0.032,4.26150499424536e-09
"0","Gad2",1.45739746646697e-46,2.78624517030171,0.598,0.177,2.60072577891032e-42
"0","Sox2",2.14190357567808e-36,2.75261885847769,0.614,0.272,3.82222693079754e-32
"0","Kcnab1",1.94496997455983e-14,2.75110444500936,0.249,0.065,3.47079891960202e-10
"0","Kiaa1549l",1.26621813268038e-46,2.71425138191062,0.581,0.148,2.25956625776813e-42
"0","Nrp1",5.76986000938045e-21,2.6801197337615,0.319,0.073,1.02963151867394e-16
"0","Rbfox3",3.7071189792527e-32,2.65351461763521,0.457,0.116,6.61535381847645e-28
"0","Cdh4",4.50326533911222e-24,2.64598349866219,0.389,0.11,8.03607699764576e-20
"0","Crim1",5.09816899092488e-36,2.61824208701334,0.539,0.183,9.09768256430545e-32
"0","Slc32a1",1.35129416773384e-16,2.5556469338966,0.279,0.073,2.41138444232104e-12
"0","Ankfn1",2.78885406646452e-14,2.50644649679721,0.278,0.089,4.97671008160594e-10
"1","Col22a1",7.45968541458988e-59,4.02572682511837,0.386,0.031,1.33118086223356e-54
"1","Susd1",9.42400124663396e-62,3.51662100147862,0.424,0.039,1.68171302246183e-57
"1","Ptger4",6.97970440878195e-25,3.4632839441329,0.182,0.018,1.24552825174714e-20
"1","Tbc1d8b",1.39979818692426e-81,3.45504357219921,0.591,0.073,2.49793986456635e-77
"1","Mbnl3",1.63257844433222e-14,3.41324326163331,0.114,0.013,2.91333623391084e-10
"1","Hmcn1",6.87494264244268e-74,3.38864275013362,0.527,0.058,1.2268335145439e-69
"1","Lgr6",1.79195405286939e-16,3.35434957257974,0.117,0.011,3.19774200734543e-12
"1","Caprin2",4.61511827035669e-131,3.32258701019495,0.97,0.25,8.23567855345151e-127
"1","Nup62cl",3.39377746354364e-25,3.19259850258313,0.197,0.022,6.05619588369362e-21
"1","Pla2r1",1.49638679489208e-12,3.17537943153442,0.114,0.018,2.67030223548492e-08
"1","Smoc2",3.04231243057753e-24,3.151856708681,0.201,0.026,5.42900653236559e-20
"1","Adamtsl1",7.97138647466114e-82,3.06966660344118,0.659,0.104,1.42249391640328e-77
"1","Angpt1",2.56012673779702e-77,3.06555207068086,0.697,0.144,4.56854616359878e-73
"1","Ell2",2.1413378920622e-63,3.05514155419246,0.549,0.093,3.821217468385e-59
"1","Tom1l1",7.74562729462749e-33,2.79913441525264,0.299,0.046,1.38220719072627e-28
"1","Ly75",1.4403490358284e-64,2.79865166636378,0.576,0.101,2.57030285443579e-60
"1","Slit3",9.72225519617283e-109,2.78063377703332,0.936,0.31,1.73493643975704e-104
"1","Zbbx",6.85495432575005e-20,2.76938707185858,0.193,0.032,1.2232665994301e-15
"1","Spef2",1.68907307167062e-10,2.76938707185858,0.14,0.036,3.01415089639622e-06
"1","Rfx2",1.6879547968837e-14,2.76938707185858,0.129,0.019,3.01215533503896e-10
"2","Esr2",3.83744547576097e-81,4.94901607128119,0.537,0.029,6.84792145149546e-77
"2","Hs3st3b1",1.77213274758167e-20,4.61143471208235,0.12,0.005,3.16237088805948e-16
"2","Qrfpr",4.72001123874658e-38,4.52397187083201,0.259,0.014,8.42286005554327e-34
"2","Dapl1",1.74822073193755e-18,4.40498383461492,0.111,0.005,3.11969989614256e-14
"2","Hs3st3a1",1.04830653502482e-38,4.21150410519371,0.278,0.017,1.87070301175179e-34
"2","Igf1",5.56387275747744e-23,3.69160506076633,0.213,0.021,9.92873093571849e-19
"2","Frem1",2.33709928587588e-18,3.66390213197648,0.167,0.016,4.1705536756455e-14
"2","Reln",1.13808724774648e-80,3.57238193551857,0.991,0.263,2.0309166936036e-76
