"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","Ptgds",1.24981488020476e-09,5.27443537328418,0.222,0.095,2.28778613821481e-05
"0","Bcl11a",4.34984160947226e-23,3.3275840115708,0.289,0.059,7.96238506613897e-19
"0","Tmem132c",7.95927530918242e-12,3.28568792653197,0.153,0.028,1.45694534534584e-07
"0","Grik3",8.292348339166e-37,3.12557485961466,0.389,0.059,1.51791436348434e-32
"0","Cacna2d3",2.35145268919126e-43,3.03596128138573,0.514,0.152,4.30433414756459e-39
"0","Hs6st2",8.42003743434794e-23,3.0076017628602,0.286,0.057,1.54128785235739e-18
"0","Kirrel1",2.58565975111527e-10,3.0019815958739,0.12,0.017,4.7330501744165e-06
"0","Bcl11b",3.51047097889002e-12,2.94571337622716,0.143,0.019,6.42591712685819e-08
"0","Mpped2",6.54773597139117e-21,2.92191035164195,0.257,0.045,1.19856306956315e-16
"0","Cdh4",1.53224292032262e-35,2.85589698035519,0.443,0.118,2.80477066565055e-31
"0","Rarb",4.17539907278129e-10,2.85339862624348,0.176,0.055,7.64306800272616e-06
"0","Kcnab1",5.32484463499529e-22,2.8284134232004,0.302,0.073,9.74712810435887e-18
"0","Kiaa1549l",2.40737774470601e-67,2.82613176047449,0.643,0.156,4.40670496168435e-63
"0","Nrp1",1.49522945475624e-29,2.76612445111021,0.365,0.081,2.7370175169313e-25
"0","Rbfox3",2.44591636000614e-53,2.75185114218381,0.561,0.135,4.47724989699124e-49
"0","Tmem132d",4.44303278486093e-32,2.72906963239173,0.409,0.102,8.13297151268793e-28
"0","Htr4",1.1749551473165e-30,2.72835654478801,0.359,0.066,2.15075539716285e-26
"0","Adamts3",2.06791472778853e-07,2.72835654478801,0.108,0.026,0.0037853179092169
"0","Rasgrp1",7.1318072637384e-09,2.72149821928389,0.119,0.024,0.000130547731962731
"0","Gad2",1.62118383726018e-58,2.7000610486216,0.619,0.182,2.96757701410477e-54
"1","Col22a1",6.6607423772235e-91,4.37567645593444,0.41,0.028,1.21924889215076e-86
"1","Susd1",5.79212311279414e-91,3.7141885305614,0.439,0.036,1.06024813579697e-86
